title,genre,releaseDate,budget
The Box,Sci-Fi & Fantasy,2019-06-01,828199
Uriyadi 2,Dramas,2019-08-02,706233
While We're Young,Comedies,2017-10-23,447463
El testigo,Documentaries,2019-06-28,579148
Shark Night,Horror Movies,2019-11-02,151442
Hamburger Hill,Action & Adventure,2019-11-23,767699
Employee of the Month,Comedies,2020-10-01,941007
Dries,Documentaries,2018-01-01,975942
Band of Robbers,Action & Adventure,2016-04-15,420657
You Carry Me,Dramas,2016-07-01,494411
The Girl from the Song,Dramas,2017-11-24,598679
Dances with Wolves,Action & Adventure,2021-03-01,665185
Mosul,Action & Adventure,2020-11-26,155425
Garfunkel and Oates: Trying to be Special,Music & Musicals,2016-12-23,478433
Radium Girls,Dramas,2021-01-16,486194
All The Bright Places,Dramas,2020-02-28,681651
The Lion Woman,Dramas,2017-10-01,382682
ReMastered: Who Killed Jam Master Jay?,Documentaries,2018-12-07,726329
Bolt,Children & Family Movies,2018-07-22,912254
Gatao 2: Rise of the King,Action & Adventure,2019-05-09,252975
Sleeping with Other People,Comedies,2017-10-02,439827
Doom: Annihilation,Action & Adventure,2019-12-25,971463
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentaries,2017-11-17,233045
The Operative,Dramas,2021-07-27,166163
Calum von Moger: Unbroken,Documentaries,2019-08-13,568251
The Last Bomb of the Second World War,Dramas,2020-03-03,795829
She Is,Dramas,2021-01-26,889666
Inuyasha the Movie - L'isola del fuoco scarlatto,Action & Adventure,2017-09-01,963377
Dog Gone Trouble,Children & Family Movies,2021-05-28,380959
Beary Tales,Children & Family Movies,2017-03-01,171475
Lift Like a Girl,Documentaries,2021-07-15,119649
Full Out,Children & Family Movies,2016-09-01,893573
Cuddle Weather,Dramas,2020-02-14,617720
Carlos Ballarta: El amor es de putos,Stand-Up Comedy,2016-11-21,452622
Bokeh,Dramas,2017-06-22,650040
Tigertail,Dramas,2020-04-10,282001
This Is the Life,Documentaries,2021-02-11,258495
Spy Time,Action & Adventure,2016-06-01,881978
Act of Valor,Action & Adventure,2020-06-01,924360
Overnight Republic,Comedies,2020-06-04,523007
No Escape Room,Horror Movies,2021-02-18,705384
Kevin Hart: What Now?,Stand-Up Comedy,2017-04-11,283267
One Heart: The A.R. Rahman Concert Film,Documentaries,2017-11-01,895363
Mantostaan,Dramas,2017-12-15,785127
Chhota Bheem & Ganesh,Children & Family Movies,2021-07-22,810881
The Human Factor: The Untold Story of the Bombay Film Orchestras,Documentaries,2017-04-01,369923
Socha Na Tha,Comedies,2018-07-01,795050
The Pirates of Somalia,Dramas,2018-03-01,502322
All Light Will End,Horror Movies,2019-02-02,973660
Be Somebody,Comedies,2019-11-20,462311
Officer Downe,Action & Adventure,2017-03-30,505426
Train of the Dead,Horror Movies,2018-07-25,934079
The Karate Kid,Action & Adventure,2021-07-01,137207
Take Me Home Tonight,Comedies,2019-05-16,148803
Balto 3: Wings of Change,Children & Family Movies,2018-04-01,131463
Judwaa,Comedies,2019-12-31,592950
Patria,Documentaries,2019-01-18,961779
How to Change the World,Documentaries,2016-01-01,979786
Franco Escamilla: Por la anécdota,Stand-Up Comedy,2018-06-08,191464
Sabotage,Action & Adventure,2021-05-19,606772
Fakkah Fuzz: Almost Banned,Stand-Up Comedy,2018-01-26,868042
The Breakup Playlist,Dramas,2019-02-27,869677
The End,Action & Adventure,2020-05-17,762515
We Are Young. We Are Strong.,Dramas,2017-01-15,539385
Agyaat,Horror Movies,2018-10-01,322348
Monster-in-Law,Comedies,2020-01-01,753836
Islands of Faith,Documentaries,2020-08-17,793762
Untold: Breaking Point,Documentaries,2021-09-07,900064
Easy A,Comedies,2020-11-01,506089
How the Beatles Changed the World,Documentaries,2018-02-01,456559
The Perfect Picture: Ten Years Later,Comedies,2020-07-03,646511
The Rezort,Horror Movies,2017-01-16,205832
The Day I lost My Shadow,Dramas,2021-05-27,605447
Fear Street Part 1: 1994,Horror Movies,2021-07-02,731335
Brother's Shadow,Dramas,2017-09-01,984929
The Humanity Bureau,Action & Adventure,2018-12-18,468277
Chhota Bheem: Bheem vs Aliens,Children & Family Movies,2021-07-22,710061
Dil Hai Tumhaara,Dramas,2018-04-01,946075
Secrets of Althorp - The Spencers,Documentaries,2017-04-22,923128
S.M.A.R.T Chase,Action & Adventure,2021-05-01,614146
Legal Hash,Comedies,2021-04-23,575092
Kocan Kadar Konus,Comedies,2021-04-23,614632
Sergio,Dramas,2020-04-17,694554
Travis Scott: Look Mom I Can Fly,Documentaries,2019-08-28,157519
Stray Bullet,Dramas,2020-06-18,760390
Chhota Bheem aur Krishna vs Zimbara,Children & Family Movies,2021-07-22,877615
A Little Chaos,Dramas,2019-04-17,694635
Shikari,Dramas,2017-12-08,787858
Jake's Buccaneer Blast,Movies,2017-08-06,782166
The Stanford Prison Experiment,Dramas,2017-06-17,657323
